family_id,family_display_name,family_utility_name,current_label,current_name,current_startdate,earliest_available_startdate,baseline_label,baseline_name,baseline_startdate,name_changed_over_window,actual_years_spanned,blended_energy_rate_cagr_10yr,blended_energy_rate_cagr_10yr_needs_review,years_of_available_history,status,reason
539f6b25ec4f024411ec98f5,A-1 Small General Service TOU (Poly-Phase),Pacific Gas & Electric Co,69de8841406310365e0f080e,A-1 Small General Service TOU (Poly-Phase),2026-03-27 07:00:00+00:00,2014-01-01 13:00:00+00:00,574cbfc15457a3874b5e62a0,A-1 Small General Service TOU (Poly-Phase),2016-03-24 07:00:00+00:00,False,10.00684462696783,0.0640363450640713,False,12.229979466119097,included,ok
539f6b34ec4f024411ec9995,"Schedule XT Very Large Industrial Service - Demand Metered 3,000 to 6,999 kW, Time-Of-Use",Turlock Irrigation District,5b4d1d5d5457a34c11c6d678,"Schedule XT Very Large Industrial Service - Demand Metered 3,000 to 6,999 kW, Time-Of-Use",2015-01-01 08:00:00+00:00,2009-02-01 13:00:00+00:00,,,,,,,False,5.9110198494182065,excluded,only 5.9 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6b43ec4f024411ec9a7d,Schedule FL Flat Rate Service-In Excess of 50% Load Factor 0 - 200 Watt,Modesto Irrigation District,539f6b43ec4f024411ec9a7d,Schedule FL Flat Rate Service-In Excess of 50% Load Factor 0 - 200 Watt,2013-04-01 13:00:00+00:00,2013-04-01 13:00:00+00:00,,,,,,,False,0.0,excluded,only 0.0 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6b52ec4f024411ec9af5,GS-1 TOU A General Service Non-Demand Single Phase (2kV - 50 kV),Southern California Edison Co,6527327a7e3ca47f670ea041,GS-1 TOU A General Service Non-Demand Single Phase (2kV - 50 kV),2023-10-01 07:00:00+00:00,2013-05-16 07:00:00+00:00,539f6b52ec4f024411ec9af5,GS-1 General Service Non-Demand Single Phase 2kV to 50 kV Discount,2013-05-16 07:00:00+00:00,True,10.376454483230663,0.061023405264757136,False,10.376454483230663,included,ok
539f6b62ec4f024411ec9c19,"General Service - Demand: GS-2, Single Phase Service(50kV - 220 kV)",Southern California Edison Co,539f6b62ec4f024411ec9c19,"General Service - Demand: GS-2, Single Phase Service(50kV - 220 kV)",2014-01-29 13:00:00+00:00,2014-01-29 13:00:00+00:00,,,,,,,False,0.0,excluded,only 0.0 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6b72ec4f024411ec9ca5,"Time of Use, General Service, Demand Metered, Critical Peak Option: TOU-GS-2 CPP, Single Phase (Under 2kV)",Southern California Edison Co,56b927935457a3030348d235,"Time of Use, General Service, Demand Metered, Critical Peak Option: TOU-GS-2 CPP, Single Phase (Under 2kV)",2016-01-01 07:00:00+00:00,2014-01-01 13:00:00+00:00,,,,,,,False,1.995893223819302,excluded,only 2.0 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6b91ec4f024411ec9e93,General Service Time-of-use Electric Vehicle Charging - Demand Metered:TOU-EV-4 (50kV - 220 kV) - Closed Rate,Southern California Edison Co,5c817fcf7bece2299eceb39b,General Service Time-of-use Electric Vehicle Charging - Demand Metered:TOU-EV-4 (50kV - 220 kV) - Closed Rate,2018-10-01 07:00:00+00:00,2014-01-01 13:00:00+00:00,,,,,,,False,4.744695414099931,excluded,only 4.7 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6ba0ec4f024411ec9f61,Schedule FL Flat Rate Service-Not Exceeding 50% Load Factor 1801 - 2000 Watt,Modesto Irrigation District,5b2930fb5457a3083fe5d862,Schedule FL Flat Rate Service-Not Exceeding 50% Load Factor 1801 - 2000 Watt,2017-09-01 07:00:00+00:00,2013-04-01 13:00:00+00:00,,,,,,,False,4.41615331964408,excluded,only 4.4 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6bceec4f024411eca197,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option E (at 220kV)",Southern California Edison Co,675744a5f750fb7a31058c6f,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option E (at 220kV)",2024-10-01 06:00:00+00:00,2014-01-01 08:00:00+00:00,539f6bceec4f024411eca197,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option A (at 220kV)",2014-01-01 08:00:00+00:00,True,10.746064339493497,0.07705977986532409,False,10.746064339493497,included,ok
539f6c1aec4f024411eca511,"Time of Use, General Service, Demand Metered, Critical Peak Option: TOU-GS-2 CPP, Three Phase (50kV - 220kV)",Southern California Edison Co,56b924a65457a3d41f48d234,"Time of Use, General Service, Demand Metered, Critical Peak Option: TOU-GS-2 CPP, Three Phase (50kV - 220kV)",2016-01-01 07:00:00+00:00,2014-01-01 13:00:00+00:00,,,,,,,False,1.995893223819302,excluded,only 2.0 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
