family_id,family_display_name,family_utility_name,current_label,current_name,current_startdate,baseline_label,baseline_name,baseline_startdate,name_changed_over_window,actual_years_spanned,blended_demand_rate_cagr_10yr,blended_demand_rate_cagr_10yr_needs_review
539f6a8eec4f024411ec912f,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option E (2kV-50kV)",Southern California Edison Co,6757449af750fb7a31058c6e,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option E (2kV-50kV)",2024-10-01 06:00:00+00:00,539f6a8eec4f024411ec912f,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option A (2kV-50kV)",2014-01-01 08:00:00+00:00,True,10.746064339493497,,False
539f6a8fec4f024411ec9173,"Time-of-use - General Service - Demand Metered: TOU-GS-3, Option R (At 220kV)",Southern California Edison Co,675099c18eb34159210ca42f,"Time-of-use - General Service - Demand Metered: TOU-GS-3, Option R (At 220kV)",2024-10-01 06:00:00+00:00,539f6a8fec4f024411ec9173,"Time-of-use - General Service - Demand Metered: TOU-GS-3, Option R (at 220kV)",2014-01-01 13:00:00+00:00,True,10.746064339493497,,False
539f6aeaec4f024411ec9613,"Time of Use, General Service, Demand Metered, Option B: GS-2 TOU B, Three Phase (At 220kV)",Southern California Edison Co,675350e0043c8610d60b0fe9,"Time of Use, General Service, Demand Metered, Option B: GS-2 TOU B, Three Phase (At 220kV)",2024-10-01 06:00:00+00:00,539f6aeaec4f024411ec9613,"Time of Use, General Service, Demand Metered, Option B: GS-2 TOU B, Three Phase (At 220kV)",2014-01-29 13:00:00+00:00,False,10.669404517453799,-0.1322183957186467,False
539f6b25ec4f024411ec98e7,"Time of Use, General Service, Demand Metered, Option B: GS-2 TOU B, Three Phase (2kV - 50kV)",Southern California Edison Co,675350b9043c8610d60b0fe8,"Time of Use, General Service, Demand Metered, Option B: GS-2 TOU B, Three Phase (2kV - 50kV)",2024-10-01 06:00:00+00:00,539f6b25ec4f024411ec98e7,"Time of Use, General Service, Demand Metered, Option B: GS-2 TOU B, Three Phase (2kv - 50kV)",2014-01-29 08:00:00+00:00,True,10.669404517453799,-0.1322183957186467,False
539f6b25ec4f024411ec98f5,A-1 Small General Service TOU (Poly-Phase),Pacific Gas & Electric Co,69de8841406310365e0f080e,A-1 Small General Service TOU (Poly-Phase),2026-03-27 07:00:00+00:00,574cbfc15457a3874b5e62a0,A-1 Small General Service TOU (Poly-Phase),2016-03-24 07:00:00+00:00,False,10.00684462696783,,False
539f6b52ec4f024411ec9af5,GS-1 TOU A General Service Non-Demand Single Phase (2kV - 50 kV),Southern California Edison Co,6527327a7e3ca47f670ea041,GS-1 TOU A General Service Non-Demand Single Phase (2kV - 50 kV),2023-10-01 07:00:00+00:00,539f6b52ec4f024411ec9af5,GS-1 General Service Non-Demand Single Phase 2kV to 50 kV Discount,2013-05-16 07:00:00+00:00,True,10.376454483230663,,False
539f6bceec4f024411eca197,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option E (at 220kV)",Southern California Edison Co,675744a5f750fb7a31058c6f,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option E (at 220kV)",2024-10-01 06:00:00+00:00,539f6bceec4f024411eca197,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option A (at 220kV)",2014-01-01 08:00:00+00:00,True,10.746064339493497,,False
539f6c1bec4f024411eca5cf,Power-Agricultural and Pumping Demand Metered: PA-2 (Under 2kV),Southern California Edison Co,67572f3dc33fc66a3504cc8c,Power-Agricultural and Pumping Demand Metered: PA-2 (Under 2kV),2024-10-01 06:00:00+00:00,539f6c1bec4f024411eca5cf,Power-Agricultural and Pumping Demand Metered: PA-2 (Under 2kV),2014-01-01 08:00:00+00:00,False,10.746064339493497,-0.16943609141423177,False
539f6c48ec4f024411eca787,CI-TOD4: Commercial and Industrial TOD Subtransmission (1000+ kW),Sacramento Municipal Utility District,68c0cbf86f4f7d79f9018dbc,CI-TOD4: Commercial and Industrial TOD Subtransmission (1000+ kW),2025-05-01 07:00:00+00:00,557af9fc5457a35b328ba378,Large General Service Time of Use - GS-TOU1 (GUT_L),2015-04-10 07:00:00+00:00,True,10.05886379192334,,False
539f6c98ec4f024411ecabe3,"Time-Of-Use - General Service - Large: TOU-8, Option B (2 kV - 50kV)",Southern California Edison Co,674f36c0d1b9875c3d07cd2a,"Time-Of-Use - General Service - Large: TOU-8, Option B (2 kV - 50kV)",2024-10-01 06:00:00+00:00,539f6c98ec4f024411ecabe3,"Time-Of-Use - General Service - Large: TOU-8, Option B (2 kV - 50kV)",2014-01-01 13:00:00+00:00,False,10.746064339493497,-0.16344390319582636,False
